地址,高校名称,百度经度,百度纬度
安徽省蚌埠市,蚌埠医学院,117.438639,32.911035
安徽省蚌埠市,安徽财经大学,117.427992,32.910383
安徽省蚌埠市,蚌埠学院,117.429707,32.895522
安徽省蚌埠市,安徽电子信息职业技术学院,117.429893,32.9031
安徽省蚌埠市,蚌埠经济技术职业学院,117.375531,33.157528
安徽省亳州市,亳州师范高等专科学校,115.772463,33.809091
安徽省亳州市,亳州职业技术学院,115.776225,33.849636
安徽省池州市,池州学院,117.572812,30.650029
安徽省池州市,池州职业技术学院,117.482021,30.66654
安徽省池州市,安徽人口职业学院,117.572935,30.641966
安徽省滁州市,滁州学院,118.318557,32.281629
安徽省滁州市,安徽科技学院,117.572961,32.878498
安徽省滁州市,滁州职业技术学院,118.313303,32.25625
安徽省滁州市,滁州城市职业学院,117.569174,32.882803
安徽省阜阳市,民办安徽旅游职业学院,116.265314,32.662456
安徽省阜阳市,阜阳师范学院,115.812483,32.899076
安徽省阜阳市,阜阳职业技术学院,115.798446,32.892846
安徽省阜阳市,阜阳科技职业学院,115.794775,32.903457
安徽省合肥市,安徽中医药大学,117.267343,31.858422
安徽省合肥市,安徽外国语学院,117.03024,31.745682
安徽省合肥市,民办万博科技职业学院,117.212771,31.868136
安徽省合肥市,安徽大学公安学院（安徽公安职业学院）,117.183594,31.837243
安徽省合肥市,安徽汽车职业技术学院,117.278707,31.746265
安徽省合肥市,安徽长江职业学院,117.282699,31.86694
安徽省合肥市,合肥工业大学,117.302545,31.849278
安徽省合肥市,中国科学技术大学,117.275366,31.843017
安徽省合肥市,安徽大学,117.262098,31.85077
安徽省合肥市,安徽农业大学,117.264855,31.86668
安徽省合肥市,安徽医科大学,117.269215,31.855532
安徽省合肥市,巢湖学院,117.935824,31.655889
安徽省合肥市,安徽建筑大学,117.229423,31.749981
安徽省合肥市,安徽三联学院,117.204258,31.758432
安徽省合肥市,合肥学院,117.27065,31.847473
安徽省合肥市,安徽新华学院,117.191521,31.83294
安徽省合肥市,安徽文达信息工程学院,117.025546,31.749044
安徽省合肥市,合肥师范学院,117.235094,31.756828
安徽省合肥市,安徽职业技术学院,117.384342,31.935944
安徽省合肥市,安徽水利水电职业技术学院,117.433896,31.831383
安徽省合肥市,安徽警官职业学院,117.230671,31.880632
安徽省合肥市,安徽工业经济职业技术学院,117.334277,31.823936
安徽省合肥市,合肥通用职业技术学院,117.209925,31.863897
安徽省合肥市,民办合肥经济技术职业学院,117.25891,31.730864
安徽省合肥市,安徽交通职业技术学院,117.305859,31.835548
安徽省合肥市,安徽体育运动职业技术学院,117.357012,31.777397
安徽省合肥市,安徽医学高等专科学校,117.232686,31.792698
安徽省合肥市,合肥职业技术学院,117.384342,31.935944
安徽省合肥市,安徽广播影视职业技术学院,117.378312,31.936235
安徽省合肥市,民办合肥滨湖职业技术学院,117.25891,31.730864
安徽省合肥市,安徽电气工程职业技术学院,117.307897,31.819242
安徽省合肥市,安徽城市管理职业学院,117.399091,31.934404
安徽省合肥市,安徽工商职业学院,117.267383,31.965855
安徽省合肥市,安徽中澳科技职业学院,117.258029,31.88412
安徽省合肥市,安徽艺术职业学院,117.220969,31.781456
安徽省合肥市,安徽财贸职业学院,117.187643,31.757948
安徽省合肥市,安徽国际商务职业学院,117.276161,31.993344
安徽省合肥市,安徽林业职业技术学院,117.195162,31.846921
安徽省合肥市,安徽审计职业学院,117.262951,31.731256
安徽省合肥市,安徽新闻出版职业技术学院,117.249539,31.783037
安徽省合肥市,安徽邮电职业技术学院,117.238603,31.855424
安徽省合肥市,安徽涉外经济职业学院,117.399592,31.938005
安徽省合肥市,安徽绿海商务职业学院,117.204507,31.75626
安徽省合肥市,合肥共达职业技术学院,117.319499,31.969646
安徽省合肥市,徽商职业学院,117.036209,31.756958
安徽省合肥市,合肥信息技术职业学院,117.180163,31.76458
安徽省合肥市,合肥幼儿师范高等专科学校,117.382111,31.926253
安徽省合肥市,安徽粮食工程职业学院,117.403293,31.922024
安徽省合肥市,合肥科技职业学院,117.037773,31.753151
安徽省淮北市,淮北师范大学,116.817379,33.989132
